address,symbol,name,decimals,logo_uri,price_usdc,market_cap,liquidity_usd,volume_24h,price_change_24h,age_hours,pair_created_at,route_count,dexes,price_impact,has_dexscreener_data,is_tradeable,first_discovered_at,last_updated_at,discovery_source,tags,metadata,tx_count_24h,has_verified_contract,has_rug_check,rug_score,issues,quality_score,jupiter_ok,dex_ok,holders,invest_score
4GkLcvQ2ELtnWG28Tt77fWTvj4nyN6mHtgiSLbycLKjT,PEPEWAR,Pepe War 3,8,https://bafybeiedtg5g4bf5d7xmwsz3egtebpvjcgfd6o6huvuw5puz4vk6a6sci4.ipfs.nftstorage.link/,,,,,,,,,[],,0,0,2025-07-24 18:00:49,2025-07-24 18:00:49,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://bafybeiedtg5g4bf5d7xmwsz3egtebpvjcgfd6o6huvuw5puz4vk6a6sci4.ipfs.nftstorage.link/"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,10.0,0,0,,
5vLtqqBewSMeM2Gasktopo55uJCpgx3N8dypVW1Apump,WOJAK,Wojak Pump,6,https://cf-ipfs.com/ipfs/QmYg4zmzjYJGdVsqBo86332kCBUZ95TVfbZAe5eSepTmB7,,,,,,,,,[],,0,0,2025-07-24 18:00:50,2025-07-24 18:00:50,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmYg4zmzjYJGdVsqBo86332kCBUZ95TVfbZAe5eSepTmB7"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,9.0,0,0,,
6GHk7ndrZ2CZSVo5HuBZFT3V8z39vXRx6F7AFjAWTqCt,$KONKE,Konke on Sol,9,https://gateway.irys.xyz/MqUf5-PRdbV7hXne3M5mf-v6fXxK-VpetaA7ulCcbxk,,,,,,,,,[],,0,0,2025-07-24 18:00:51,2025-07-24 18:00:51,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://gateway.irys.xyz/MqUf5-PRdbV7hXne3M5mf-v6fXxK-VpetaA7ulCcbxk"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,8.0,0,0,,
Ak9mTK3252BvKVAqQWG1uyXXMV89rs3sQRaoovHcpump,PUMPIUM,PUMPIUM,6,https://cf-ipfs.com/ipfs/QmRhYujpHjCcmaJwSSQ9zDEi7e8BBCPvzjnFHmbpcoXRv6,,,,,,,,,[],,0,0,2025-07-24 18:00:51,2025-07-24 18:00:51,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmRhYujpHjCcmaJwSSQ9zDEi7e8BBCPvzjnFHmbpcoXRv6"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,8.0,0,0,,
4dzSRcGd2TDxGavfyxZdJjmAVHFDULKi9H9R8WELpump,$BRUMP,$BRUMP,6,https://cf-ipfs.com/ipfs/Qmbwh66Jdo8LteyfTzsQYsE3gzouCTk5mJNQycJpjSczR2,,,,,,,,,[],,0,0,2025-07-24 18:00:52,2025-07-24 18:00:52,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/Qmbwh66Jdo8LteyfTzsQYsE3gzouCTk5mJNQycJpjSczR2"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,8.0,0,0,,
CymMBRBRynQ19gEEK6LkrSMtxPyiM186WT9vio7bpump,$TOPGG,TopGG.fun,6,https://cf-ipfs.com/ipfs/QmTNhfM4N7d2ikpdgiYU6JoNUr3itJ9s5Ru6gc5igs2XZx,,,,,,,,,[],,0,0,2025-07-24 18:00:53,2025-07-24 18:00:53,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmTNhfM4N7d2ikpdgiYU6JoNUr3itJ9s5Ru6gc5igs2XZx"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,8.0,0,0,,
Fdakzd6HftJPHBDqAZ9Wrybyoyj7ft9bQv4r3CZ3pump,$NIOCTIB ,Satoshi’s Dog,6,https://cf-ipfs.com/ipfs/QmTiXpW19KqJngXs6BugbAKK71UwQyEaf5fkRukwdQKa7w,,,,,,,,,[],,0,0,2025-07-24 18:00:54,2025-07-24 18:00:54,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmTiXpW19KqJngXs6BugbAKK71UwQyEaf5fkRukwdQKa7w"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,7.0,0,0,,
DEMApeDwc6YEwvdpUu5Jswxded55c9wN638Y2GXWpump,$CWIQ144P,Cat with 144p Image Quality,6,https://cf-ipfs.com/ipfs/QmeknzyaR6NuGat87jrtNUBEKLXqQD7UjmM1CRbyGnVQny,,,,,,,,,[],,0,0,2025-07-24 18:00:55,2025-07-24 18:00:55,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmeknzyaR6NuGat87jrtNUBEKLXqQD7UjmM1CRbyGnVQny"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,7.0,0,0,,
6FxLU614v6L9LYdZxjQwtKwRcpL6JQ7JvfGYDNHhpump,TUR,TURTIE,6,https://cf-ipfs.com/ipfs/QmXp1ZeUZHANmQD3o9mzNKjUvEMDWLsJhgawMjaUuEZAuC,,,,,,,,,[],,0,0,2025-07-24 18:00:56,2025-07-24 18:00:56,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/QmXp1ZeUZHANmQD3o9mzNKjUvEMDWLsJhgawMjaUuEZAuC"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
5XFnEmDbpjkU87uckHT6Hep4Qc9GqLUfZMS4JLHDpump,lolwut,lolwut,6,https://cf-ipfs.com/ipfs/Qmacvon8GieW8UijFCjGMrPqRQGMTF1XV8LTxjmYPocKSd,,,,,,,,,[],,0,0,2025-07-24 18:00:56,2025-07-24 18:00:56,jupiter,"[""unknown""]","{""jupiter_data"": {""logoURI"": ""https://cf-ipfs.com/ipfs/Qmacvon8GieW8UijFCjGMrPqRQGMTF1XV8LTxjmYPocKSd"", ""extensions"": {}}, ""dexscreener_data"": {}, ""jupiter_price_data"": {}}",0,0,0,,,6.0,0,0,,
